Group Name,X,Y,Z,GridX,GridY,Feature,Normalized Feature,MEPFrequency,PreStim Mean
Sample 7,-38.1175,-3.1157,96.871,Sample 7,Sample 7,NaN,NaN,20,0.00104762413758158
Sample 70,-67.5121,2.5978,81.9896,Sample 70,Sample 70,NaN,NaN,20,0.000895599165460868
Sample 71,-66.8022,-8.1238,83.3031,Sample 71,Sample 71,NaN,NaN,0,NaN
Sample 72,-63.1175,-18.2191,80.8362,Sample 72,Sample 72,NaN,NaN,0,NaN
Sample 73,-64.7959,-27.5512,84.1369,Sample 73,Sample 73,NaN,NaN,20,0.000968586349623939
Sample 74,-61.7898,-39.0713,83.2,Sample 74,Sample 74,NaN,NaN,0,NaN
Sample 75,-57.194,-46.3037,80.093,Sample 75,Sample 75,NaN,NaN,0,NaN
Sample 76,-59.9007,-55.8288,82.7212,Sample 76,Sample 76,NaN,NaN,0,NaN
Sample 8,-37.4334,-10.8543,101.3177,Sample 8,Sample 8,0.0532897153486071,70.6353866914237,60,0.000888529454764077
Sample 9,-38.1466,-23.0572,102.1242,Sample 9,Sample 9,NaN,NaN,0,NaN
