Group Name,X,Y,Z,GridX,GridY,Feature,Normalized Feature,MEPFrequency,PreStim Mean
Sample 8,-59.8074,-70.7312,79.468,Sample 8,Sample 8,NaN,NaN,0,NaN
Sample 80,25.8474,-52.0353,87.2777,Sample 80,Sample 80,0.0583737182751065,62.8381935359805,40,0.000758310311239004
Sample 81,25.1882,-38.0161,88.4612,Sample 81,Sample 81,NaN,NaN,0,NaN
Sample 82,25.6726,-28.4925,91.0136,Sample 82,Sample 82,NaN,NaN,0,NaN
Sample 83,26.9728,-17.0138,92.6949,Sample 83,Sample 83,NaN,NaN,20,0.00088752007990902
Sample 84,23.7413,-5.0007,94.4189,Sample 84,Sample 84,NaN,NaN,20,0.000833157710958757
Sample 85,23.6221,6.2747,92.181,Sample 85,Sample 85,NaN,NaN,0,NaN
Sample 87,20.2603,15.6457,84.8003,Sample 87,Sample 87,NaN,NaN,0,NaN
Sample 88,-50.9167,-93.7348,63.3507,Sample 88,Sample 88,NaN,NaN,0,NaN
Sample 89,-37.7501,-96.7712,69.1584,Sample 89,Sample 89,0.0583487690164475,62.811336135244,40,0.00135299287331921
Sample 9,-60.1551,-61.2298,78.9301,Sample 9,Sample 9,NaN,NaN,0,NaN
Sample 90,-27.8342,-95.865,72.479,Sample 90,Sample 90,0.0583600929530803,62.8235261368877,100,0.000794450703811234
Sample 91,-12.5192,-92.9058,77.6618,Sample 91,Sample 91,0.0599424450532145,64.5268979701105,60,0.00080506077325689
Sample 92,0.1747,-90.0889,79.3426,Sample 92,Sample 92,0.0590964136790717,63.6161613441627,100,0.000992228659880078
Sample 93,14.1684,-90.0079,77.9511,Sample 93,Sample 93,NaN,NaN,20,0.000720208374459743
